Kingdom,Order,Genus,Species,Life stage,Primary Reference,Primary Reference Link,Secondary Reference,Secondary Reference Link
Animalia,,Chironomus,yoshimatsui,Larva,"Suemoto et al., 2004; Benoit and Denlinger, 2007; Nakahara et al., 2008; Thorat and Nath, 2016; Thorat et al., 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,,Ceratitis capitata,"Larva, adult","Xie and Zhang, 2007; Weldon et al., 2016",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,,C. cosyra,"Larva, adult","Xie and Zhang, 2007; Weldon et al., 2016",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,,C. rosa,"Larva, adult","Xie and Zhang, 2007; Weldon et al., 2016",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,,Bactrocera dorsalis,"Larva, adult","Xie and Zhang, 2007; Weldon et al., 2016",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Drosophila,immigrants,"Larva, adult","Hoffmann and Parsons, 1989; Davidson, 1990; Gibbs and Matzkin, 2001; Marron et al., 2003; Hoffmann et al., 2003; Bazinet et al., 2010; Thorat et al., 2012a,b; Davies et al., 2013; Thorat et al., 2016,b; Ferveur et al., 2018",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Drosophila,pseudoobscura,"Larva, adult","Hoffmann and Parsons, 1989; Davidson, 1990; Gibbs and Matzkin, 2001; Marron et al., 2003; Hoffmann et al., 2003; Bazinet et al., 2010; Thorat et al., 2012a,b; Davies et al., 2013; Thorat et al., 2016,b; Ferveur et al., 2018",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Drosophila,hydei,"Larva, adult","Hoffmann and Parsons, 1989; Davidson, 1990; Gibbs and Matzkin, 2001; Marron et al., 2003; Hoffmann et al., 2003; Bazinet et al., 2010; Thorat et al., 2012a,b; Davies et al., 2013; Thorat et al., 2016,b; Ferveur et al., 2018",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Drosophila,mojavensis,"Larva, adult","Hoffmann and Parsons, 1989; Davidson, 1990; Gibbs and Matzkin, 2001; Marron et al., 2003; Hoffmann et al., 2003; Bazinet et al., 2010; Thorat et al., 2012a,b; Davies et al., 2013; Thorat et al., 2016,b; Ferveur et al., 2018",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Drosophila,birchii,"Larva, adult","Hoffmann and Parsons, 1989; Davidson, 1990; Gibbs and Matzkin, 2001; Marron et al., 2003; Hoffmann et al., 2003; Bazinet et al., 2010; Thorat et al., 2012a,b; Davies et al., 2013; Thorat et al., 2016,b; Ferveur et al., 2018",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
