"Rose A. Marks, Jill M. Farrant, D. Nicholas McLetchie, and Robert VanBuren - American Journal of Botany - 2020 - Appendix S1",,,,,,,,,,,
Division,Class,Order,Family,Genus,Species,Minimum RH (%),Minimum RWC (%),Homoi vs poikilochlorophyllous,Evidence of priming or hardening ,Tissues differ in recovery,Citation
Bryophyta,Bryopsida,Bryales,Mniaceae,Pohlia,cruda,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Bryales,Mniaceae,Pohlia,elongata,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Bryales,Mniaceae,Pohlia,ludwigii,75,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Bryales,Mniaceae,Pohlia,rothii,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Bryales,Mniaceae,Rhizomnium,punctatum,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Bryales??,Phyllodrepaniaceae,Phyllodrepanium,falcifolium,43,,homoi,,,Pardow & Lakatos 2013
Bryophyta,Bryopsida,Dicranales,Dicranaceae,Amphidium,lapponicum,75,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranoloma,fragiliforme,30,,homoi,,,Hosokawa & Kubota 1957
Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum,fuscscens,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum,japonicum,75,,homoi,,,Ochi 1952
Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum,majus,30,,homoi,,,Smirnoff 1992
Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum,scoparium,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum,viride,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Dicranales,Dicranaceae,Paraleucobryum,longifolium,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens,adianthoides,75,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens,bryoides,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens,crassipes,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens,dubius,75,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens,taxifolius,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Dicranales,Leucobryaceae,Campylopus,introflexus,,,homoi,,,Pressel et al 2009
Bryophyta,Bryopsida,Dicranales,Leucobryaceae,Campylopus,pyriformis,,,homoi,,,Cruz de Carvalho 2019
Bryophyta,Bryopsida,Dicranales,Leucobryaceae,Dicranodontium,denudatum,75,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Dicranales,Rhabdoweisiaceae,Dicranoweisia,cirrata,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Diphysciales,Diphysciaceae,Diphyscium,foliosum,30,,homoi,priming,,"Wood 2007, Duckett 1994"
Bryophyta,Bryopsida,Encalyptales,Encalyptaceae,Encalypta,streptocarpa,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Funariales,Funariaceae,Funaria,hygrometrica,,,homoi,,,Pressel et al 2009
Bryophyta,Bryopsida,Funariales,Funariaceae,Physcomitrella,patens,91,,homoi,,,Wang et al 2009
Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Grimmia,anodon,30,,homoi,,,Rundel & Lange 1980
Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Grimmia,elatior,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Grimmia,laevigata,30,,homoi,,,"Keever 1957, Wood 2007"
,Bryopsida,Grimmiales,Grimmiaceae,Grimmia,lisae,50,,homoi,,,Cruz de Carvalho 2020
Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Grimmia,muhlenbeckii,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Grimmia,orbicularis,30,,homoi,,,Alpert 1979
Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Grimmia,ovata,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Grimmia,pulvinata,30,,homoi,,,"Proctor 2010, Proctor 2003"
Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Racomitrium,aciculare,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Racomitrium,aquaticum,,,homoi,,,"Hearnshaw & Proctor 1982, Proctor 2003"
Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Racomitrium,canescens,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Racomitrium,heterostichum,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Racomitrium,lanuginosum,30,,homoi,,,"Dilks and Proctor 1976, Hearnshaw & Proctor 1982, Proctor 2003"
Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Schistidium,apocarpum,75,,homoi,,,"Alpert and Oechel 1987, Proctor 2010"
Bryophyta,Bryopsida,Hedwigales,Hedwigiaceae,Hedwigia,ciliata,30,,homoi,,,"Wood 2007, Deltoro et al 1998"
Bryophyta,Bryopsida,Hookeriales,hookeriaceae,Hookeria,lucens,30,,homoi,,,Dilks and Proctor 1974
Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Campylium,sommerfeltii,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Sanionia,uncinata,5,,homoi,,,Pizarro et al 2019
Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium,rivulare,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Cirriphyllum,cirrosum,75,,homoi,priming,,Wood 2007
