"search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches","Class","Phylum","Kingdom","Order"
"capsulimonadales","Capsulimonadales",FALSE,1,7006304,FALSE,"",1,NA,NA,"Bacteria","Capsulimonadales"
"armatimonadales","Armatimonadales",FALSE,1,947733,FALSE,"",1,NA,NA,"Bacteria","Armatimonadales"
"deinococcales","Deinococcales",FALSE,1,899084,FALSE,"",1,"Deinococci","Deinococcota","Bacteria","Deinococcales"
"thermales","Thermales",FALSE,1,170002,FALSE,"",1,"Deinococci","Deinococcota","Bacteria","Thermales"
"tumebacillales","Tumebacillus",TRUE,0.75,588447,FALSE,"",1,NA,NA,"Bacteria","Tumebacillus"
"desulfitisporales","Desulfitispora",TRUE,0.785714268684387,301222,FALSE,"",1,NA,NA,"Bacteria","Desulfitispora"
"desulfuribacillales","Desulfuribacillus",TRUE,0.823529422283173,5580444,FALSE,"barren, incertae_sedis, merged",1,NA,NA,"Bacteria","Desulfuribacillus"
"tissierellales","Tissierellales",FALSE,1,5895971,FALSE,"barren, sibling_higher, inconsistent",1,NA,NA,"Bacteria","Tissierellales"
"limnochordales","Limnochordales",FALSE,1,5575072,FALSE,"",1,NA,NA,"Bacteria","Limnochordales"
"veillonellales","Veillonellales",FALSE,1,5896190,FALSE,"",1,NA,NA,"Bacteria","Veillonellales"
"acidaminococcales","Acidaminococcales",FALSE,1,5896171,FALSE,"",1,NA,NA,"Bacteria","Acidaminococcales"
"selenomonadales","Selenomonadales",FALSE,1,373134,FALSE,"",1,NA,NA,"Bacteria","Selenomonadales"
"erysipelotrichales","Erysipelotrichales (silva:L34616/#4)",FALSE,1,125698,FALSE,"",4,NA,NA,"Bacteria","Erysipelotrichales (silva:L34616/#4)"
"thermolithobacterales","Thermolithobacterales",FALSE,1,147570,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Thermolithobacterales"
"caldicoprobacterales","Caldicoprobacteraceae",TRUE,0.857142865657806,139073,FALSE,"sibling_higher",3,NA,NA,"Bacteria","Caldicoprobacteraceae"
"acetivibrionales","Cellvibrionales",TRUE,0.800000011920929,5575239,FALSE,"barren, sibling_higher, inconsistent",1,NA,NA,"Bacteria","Cellvibrionales"
"lachnospirales","Lachnospiraceae",TRUE,0.800000011920929,16694,FALSE,"sibling_higher",2,NA,NA,"Bacteria","Lachnospiraceae"
"saccharofermentanales","Saccharofermentans",TRUE,0.833333313465118,420756,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Saccharofermentans"
"christensenellales","Christensenellaceae",TRUE,0.842105269432068,186600,FALSE,"sibling_higher",2,NA,NA,"Bacteria","Christensenellaceae"
"peptostreptococcales","Peptostreptococcaceae (family silva:L04166/#5)",TRUE,0.857142865657806,16707,FALSE,"sibling_higher",3,NA,NA,"Bacteria","Peptostreptococcaceae (family silva:L04166/#5)"
"moorellales","Amborellales",TRUE,0.833333313465118,927960,FALSE,"sibling_higher",2,"Magnoliopsida","Streptophyta","Plantae","Amborellales"
"koleobacterales","Gloeobacterales",TRUE,0.800000011920929,877100,FALSE,"barren, sibling_higher, merged",2,NA,NA,"Bacteria","Gloeobacterales"
"thermosediminibacterales","Thermosediminibacter",TRUE,0.800000011920929,145644,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Thermosediminibacter"
"natranaerobiales","Natranaerobiales",FALSE,1,66871,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Natranaerobiales"
"eubacteriales","Clostridiales",FALSE,1,16696,TRUE,"sibling_higher",1,NA,NA,"Bacteria","Clostridiales"
"thermoanaerobacterales","Thermoanaerobacterales",FALSE,1,913186,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Thermoanaerobacterales"
"halanaerobiales","Halanaerobiales",FALSE,1,23269,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Halanaerobiales"
"lactobacillales","Lactobacillales",FALSE,1,68439,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Lactobacillales"
"bacillales","Bacillales",FALSE,1,1068893,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Bacillales"
"longimicrobiales","Longimicrobiales",FALSE,1,5896284,FALSE,"",1,NA,NA,"Bacteria","Longimicrobiales"
"gemmatimonadales","Gemmatimonadales",FALSE,1,264367,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Gemmatimonadales"
"chitinispirillales","Chitinispirillales",FALSE,1,5890863,FALSE,"",1,NA,NA,"Bacteria","Chitinispirillales"
"chitinivibrionales","Chitinivibrionales",FALSE,1,5354389,FALSE,"",1,NA,NA,"Bacteria","Chitinivibrionales"
"fibrobacterales","Fibrobacterales",FALSE,1,141607,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Fibrobacterales"
"victivallales","Victivallales",FALSE,1,963759,FALSE,"",1,NA,NA,"Bacteria","Victivallales"
"lentisphaerales","Lentisphaerales",FALSE,1,963762,FALSE,"",1,NA,NA,"Bacteria","Lentisphaerales"
"oligosphaerales","Oligosphaerales",FALSE,1,4795680,FALSE,"",1,NA,NA,"Bacteria","Oligosphaerales"
